label,text_length,word_count,avg_word_length,caps_ratio,exclamation_count,label_name
1,419.0,62.0,6.758064516129032,0.1288782816229117,10.0,Unreliable
1,560.0,72.0,7.777777777777778,0.06964285714285715,3.0,Unreliable
0,732.0,96.0,7.625,0.01366120218579235,0.0,Reliable
1,768.0,103.0,7.456310679611651,0.055989583333333336,4.0,Unreliable
1,536.0,69.0,7.768115942028985,0.04291044776119403,6.0,Unreliable
1,510.0,68.0,7.5,0.0784313725490196,4.0,Unreliable
0,829.0,109.0,7.605504587155964,0.020506634499396863,0.0,Reliable
1,516.0,71.0,7.267605633802817,0.01744186046511628,0.0,Unreliable
0,937.0,131.0,7.152671755725191,0.016008537886873,0.0,Reliable
1,772.0,110.0,7.0181818181818185,0.09844559585492228,12.0,Unreliable
1,911.0,115.0,7.921739130434783,0.01646542261251372,0.0,Unreliable
0,820.0,116.0,7.068965517241379,0.01951219512195122,0.0,Reliable
1,664.0,88.0,7.545454545454546,0.03463855421686747,1.0,Unreliable
0,557.0,66.0,8.43939393939394,0.012567324955116697,0.0,Reliable
0,526.0,73.0,7.205479452054795,0.019011406844106463,0.0,Reliable
0,875.0,116.0,7.543103448275862,0.014857142857142857,0.0,Reliable
1,529.0,67.0,7.895522388059701,0.03969754253308128,1.0,Unreliable
0,656.0,90.0,7.288888888888889,0.01676829268292683,0.0,Reliable
0,582.0,72.0,8.083333333333334,0.015463917525773196,0.0,Reliable
1,779.0,101.0,7.712871287128713,0.05648267008985879,4.0,Unreliable
1,868.0,111.0,7.81981981981982,0.0576036866359447,8.0,Unreliable
1,958.0,125.0,7.664,0.04697286012526096,3.0,Unreliable
0,634.0,81.0,7.827160493827161,0.015772870662460567,0.0,Reliable
1,509.0,68.0,7.485294117647059,0.043222003929273084,6.0,Unreliable
0,606.0,79.0,7.670886075949367,0.018151815181518153,0.0,Reliable
1,526.0,66.0,7.96969696969697,0.015209125475285171,0.0,Unreliable
0,869.0,113.0,7.6902654867256635,0.01726121979286536,0.0,Reliable
0,906.0,121.0,7.487603305785124,0.013245033112582781,0.0,Reliable
1,508.0,67.0,7.582089552238806,0.10433070866141732,5.0,Unreliable
1,823.0,109.0,7.5504587155963305,0.054678007290400975,11.0,Unreliable
1,573.0,78.0,7.346153846153846,0.04537521815008726,5.0,Unreliable
1,866.0,110.0,7.872727272727273,0.03926096997690531,3.0,Unreliable
0,581.0,74.0,7.851351351351352,0.01549053356282272,0.0,Reliable
1,873.0,116.0,7.525862068965517,0.05154639175257732,4.0,Unreliable
1,539.0,71.0,7.591549295774648,0.05194805194805195,4.0,Unreliable
0,620.0,82.0,7.560975609756097,0.016129032258064516,0.0,Reliable
1,774.0,103.0,7.514563106796117,0.11627906976744186,11.0,Unreliable
0,606.0,81.0,7.481481481481482,0.018151815181518153,0.0,Reliable
0,635.0,88.0,7.215909090909091,0.01732283464566929,0.0,Reliable
1,755.0,104.0,7.259615384615385,0.05827814569536424,11.0,Unreliable
0,454.0,60.0,7.566666666666666,0.013215859030837005,0.0,Reliable
0,593.0,76.0,7.802631578947368,0.016863406408094434,0.0,Reliable
0,589.0,77.0,7.64935064935065,0.011884550084889643,0.0,Reliable
1,492.0,69.0,7.130434782608695,0.08536585365853659,9.0,Unreliable
1,618.0,90.0,6.866666666666666,0.043689320388349516,8.0,Unreliable
0,668.0,90.0,7.4222222222222225,0.05089820359281437,3.0,Reliable
0,835.0,110.0,7.590909090909091,0.015568862275449102,0.0,Reliable
1,492.0,74.0,6.648648648648648,0.07520325203252033,10.0,Unreliable
0,841.0,108.0,7.787037037037037,0.07253269916765755,8.0,Reliable
1,566.0,74.0,7.648648648648648,0.04240282685512368,6.0,Unreliable
1,462.0,65.0,7.107692307692307,0.07792207792207792,7.0,Unreliable
1,992.0,123.0,8.065040650406504,0.017137096774193547,0.0,Unreliable
1,744.0,107.0,6.953271028037383,0.08736559139784947,13.0,Unreliable
1,886.0,121.0,7.322314049586777,0.056433408577878104,8.0,Unreliable
0,798.0,107.0,7.457943925233645,0.017543859649122806,0.0,Reliable
0,741.0,94.0,7.882978723404255,0.014844804318488529,0.0,Reliable
1,511.0,68.0,7.514705882352941,0.07045009784735812,7.0,Unreliable
0,849.0,107.0,7.934579439252336,0.015312131919905771,0.0,Reliable
1,774.0,100.0,7.74,0.05426356589147287,4.0,Unreliable
0,526.0,73.0,7.205479452054795,0.02091254752851711,0.0,Reliable
0,563.0,74.0,7.608108108108108,0.014209591474245116,0.0,Reliable
1,486.0,68.0,7.147058823529412,0.043209876543209874,6.0,Unreliable
0,922.0,124.0,7.435483870967742,0.016268980477223426,0.0,Reliable
0,797.0,106.0,7.518867924528302,0.01756587202007528,0.0,Reliable
1,450.0,67.0,6.7164179104477615,0.07333333333333333,11.0,Unreliable
1,749.0,100.0,7.49,0.11615487316421896,12.0,Unreliable
0,769.0,99.0,7.767676767676767,0.015604681404421327,0.0,Reliable
0,790.0,101.0,7.821782178217822,0.015189873417721518,0.0,Reliable
1,737.0,106.0,6.952830188679245,0.10040705563093623,13.0,Unreliable
0,586.0,79.0,7.417721518987341,0.017064846416382253,0.0,Reliable
1,566.0,74.0,7.648648648648648,0.012367491166077738,0.0,Unreliable
0,448.0,64.0,7.0,0.08705357142857142,11.0,Reliable
0,766.0,97.0,7.896907216494846,0.015665796344647518,0.0,Reliable
0,527.0,71.0,7.422535211267606,0.04933586337760911,5.0,Reliable
0,475.0,62.0,7.661290322580645,0.014736842105263158,0.0,Reliable
1,848.0,114.0,7.43859649122807,0.05070754716981132,4.0,Unreliable
0,842.0,111.0,7.585585585585585,0.014251781472684086,0.0,Reliable
1,499.0,70.0,7.128571428571429,0.04408817635270541,6.0,Unreliable
0,541.0,76.0,7.118421052631579,0.0166358595194085,0.0,Reliable
